,rindex,nif,produtos_all,produtos,grupos,total
15,15,16761772,"[147, 162, 160, 157, 155, 134, 87, 85, 84, 80, 35, 34, 32, 30, 25, 131, 4, 83, 81, 79, 17, 15, 125, 49, 36, 123, 154, 96, 16]","[147, 162, 160, 157, 155, 134, 87, 85, 84, 80, 35, 34, 32, 30, 25, 131, 4, 83, 81, 79, 17, 15, 125, 49, 36, 123, 154, 96, 16]","[18, 23, 17, 10, 9, 4, 3, 16, 1, 5, 15, 11]",74.7
16,16,12889145,"[147, 83, 81, 136, 129, 106, 80, 74, 57, 121, 163, 159, 155, 53, 49, 47, 35, 5, 18, 15, 148, 44, 33, 153, 43, 39, 38]","[147, 83, 81, 136, 129, 106, 80, 74, 57, 121, 163, 159, 155, 53, 49, 47, 35, 5, 18, 15, 148, 44, 33, 153, 43, 39, 38]","[18, 9, 17, 16, 13, 8, 5, 15, 23, 4, 1, 3, 19, 22]",115.2
17,17,16749804,"[147, 163, 161, 158, 138, 80, 37, 35, 136, 94, 140, 87, 85, 84, 19, 18, 15, 47, 39, 81, 96]","[147, 163, 161, 158, 138, 80, 37, 35, 136, 94, 140, 87, 85, 84, 19, 18, 15, 47, 39, 81, 96]","[18, 23, 17, 9, 5, 4, 11, 10, 3]",35.6
18,18,17307817,"[134, 105, 80, 9, 6, 162, 144, 133, 132, 32, 25, 64, 139, 109, 107, 19, 95, 61, 158, 155, 18, 24, 15, 40, 39]","[134, 105, 80, 9, 6, 162, 144, 133, 132, 32, 25, 64, 139, 109, 107, 19, 95, 61, 158, 155, 18, 24, 15, 40, 39]","[17, 13, 9, 2, 1, 23, 16, 4, 3, 6, 15, 14, 11, 5]",117.9
19,19,18941965,"[147, 137, 98, 80, 53, 50, 48, 41, 163, 159, 155, 94, 93, 90, 85, 84, 83, 82, 79, 57, 35, 8, 18, 127, 125, 1, 81, 54, 36]","[147, 137, 98, 80, 53, 50, 48, 41, 163, 159, 155, 94, 93, 90, 85, 84, 83, 82, 79, 57, 35, 8, 18, 127, 125, 1, 81, 54, 36]","[18, 17, 12, 9, 5, 23, 11, 4, 2, 3, 16, 1]",59.2
20,20,12025113,"[147, 131, 127, 126, 97, 80, 53, 44, 36, 63, 95, 87, 83, 81, 77, 18, 119, 161, 157, 156, 75, 32, 155, 96, 57]","[147, 131, 127, 126, 97, 80, 53, 44, 36, 63, 95, 87, 83, 81, 77, 18, 119, 161, 157, 156, 75, 32, 155, 96, 57]","[18, 16, 11, 9, 5, 4, 6, 10, 8, 3, 15, 23]",68.4
21,21,13395046,"[95, 93, 90, 97, 98, 80, 65, 37, 33, 25, 24, 16, 19, 18, 4, 16, 3, 44, 79, 60, 74, 58, 57, 163, 84, 15, 161, 158, 132, 83]","[95, 93, 90, 97, 98, 80, 65, 37, 33, 25, 24, 16, 19, 18, 4, 3, 44, 79, 60, 74, 58, 57, 163, 84, 15, 161, 158, 132, 83]","[11, 12, 9, 6, 5, 4, 3, 1, 8, 23, 16]",94.9
22,22,10969349,"[147, 101, 80, 67, 65, 27, 48, 82, 25, 24, 162, 161, 155, 154, 19, 22, 12, 8, 108, 131, 64, 62, 18]","[147, 101, 80, 67, 65, 27, 48, 82, 25, 24, 162, 161, 155, 154, 19, 22, 12, 8, 108, 131, 64, 62, 18]","[18, 12, 9, 6, 3, 5, 23, 2, 15, 16]",67.9
23,23,15366685,"[142, 141, 138, 97, 80, 35, 32, 24, 155, 95, 94, 93, 90, 87, 85, 84, 132, 78, 58, 154, 151, 15, 49, 44, 42, 41, 130, 16]","[142, 141, 138, 97, 80, 35, 32, 24, 155, 95, 94, 93, 90, 87, 85, 84, 132, 78, 58, 154, 151, 15, 49, 44, 42, 41, 130, 16]","[17, 11, 9, 4, 3, 23, 10, 16, 8, 6, 20, 5]",100.7
24,24,16105935,"[147, 143, 106, 80, 65, 48, 46, 45, 42, 160, 124, 135, 41, 40, 39, 100, 96, 157, 156, 84, 18, 4, 15, 83, 36, 64]","[147, 143, 106, 80, 65, 48, 46, 45, 42, 160, 124, 135, 41, 40, 39, 100, 96, 157, 156, 84, 18, 4, 15, 83, 36, 64]","[18, 17, 13, 9, 6, 5, 23, 15, 12, 11, 3, 1, 4]",67.9
25,25,15522971,"[147, 80, 67, 19, 48, 46, 40, 39, 100, 38, 36, 4, 17, 164, 96, 95, 90, 147, 161, 155, 34, 26, 130, 148, 16, 60]","[147, 80, 67, 19, 48, 46, 40, 39, 100, 38, 36, 4, 17, 164, 96, 95, 90, 161, 155, 34, 26, 130, 148, 16, 60]","[18, 9, 6, 3, 5, 12, 4, 1, 24, 11, 23, 16, 19]",77.4
26,26,11846416,"[130, 129, 128, 127, 123, 102, 98, 47, 46, 19, 18, 14, 140, 161, 144, 159, 157, 151, 94, 74, 55, 44, 41, 24, 36]","[130, 129, 128, 127, 123, 102, 98, 47, 46, 19, 18, 14, 140, 161, 144, 159, 157, 151, 94, 74, 55, 44, 41, 24, 36]","[16, 15, 12, 5, 3, 2, 17, 23, 20, 11, 8, 4]",35.2
27,27,15309302,"[147, 160, 159, 158, 122, 131, 129, 80, 52, 51, 43, 100, 95, 156, 42, 40, 39, 36, 125, 87, 86, 84, 34, 32, 8, 19, 18, 16, 29]","[147, 160, 159, 158, 122, 131, 129, 80, 52, 51, 43, 100, 95, 156, 42, 40, 39, 36, 125, 87, 86, 84, 34, 32, 8, 19, 18, 16, 29]","[18, 23, 15, 16, 9, 5, 12, 11, 4, 10, 2, 3]",65.1
28,28,11405012,"[142, 158, 156, 154, 102, 92, 53, 37, 42, 91, 87, 86, 82, 81, 132, 128, 125, 62, 78, 72, 21, 18, 40, 26, 5, 16]","[142, 158, 156, 154, 102, 92, 53, 37, 42, 91, 87, 86, 82, 81, 132, 128, 125, 62, 78, 72, 21, 18, 40, 26, 5, 16]","[17, 23, 12, 11, 5, 10, 9, 16, 6, 8, 7, 3, 1]",96.6
29,29,10889921,"[147, 80, 131, 130, 129, 48, 88, 8, 64, 87, 32, 27, 25, 44, 42, 16, 19, 161, 150, 18, 40, 39, 148, 61]","[147, 80, 131, 130, 129, 48, 88, 8, 64, 87, 32, 27, 25, 44, 42, 16, 19, 161, 150, 18, 40, 39, 148, 61]","[18, 9, 16, 5, 10, 2, 6, 4, 3, 23, 20, 19]",69.1
30,30,17224770,"[147, 134, 80, 53, 7, 18, 4, 16, 15, 104, 95, 94, 84, 82, 99, 34, 32, 28, 25, 129, 127, 48, 162, 60, 69, 109, 149, 36]","[147, 134, 80, 53, 7, 18, 4, 16, 15, 104, 95, 94, 84, 82, 99, 34, 32, 28, 25, 129, 127, 48, 162, 60, 69, 109, 149, 36]","[18, 17, 9, 5, 2, 3, 1, 12, 11, 4, 16, 23, 6, 7, 15, 19]",85.8
31,31,18232226,"[147, 134, 105, 97, 80, 52, 37, 9, 8, 19, 18, 5, 96, 64, 62, 157, 156, 154, 34, 118, 109, 103, 13, 95, 88, 87, 61, 54, 84, 130, 127, 125, 16, 1, 47, 44, 38, 148, 82]","[147, 134, 105, 97, 80, 52, 37, 9, 8, 19, 18, 5, 96, 64, 62, 157, 156, 154, 34, 118, 109, 103, 13, 95, 88, 87, 61, 54, 84, 130, 127, 125, 16, 1, 47, 44, 38, 148, 82]","[18, 17, 13, 11, 9, 5, 2, 3, 1, 6, 23, 4, 15, 12, 10, 16, 19]",93.2
32,32,10500673,"[147, 141, 134, 106, 80, 79, 37, 7, 74, 163, 161, 157, 155, 151, 88, 34, 32, 25, 16, 36, 13, 85, 83, 18, 3, 15, 133, 129, 126, 81, 123]","[147, 141, 134, 106, 80, 79, 37, 7, 74, 163, 161, 157, 155, 151, 88, 34, 32, 25, 16, 36, 13, 85, 83, 18, 3, 15, 133, 129, 126, 81, 123]","[18, 17, 13, 9, 5, 2, 8, 23, 20, 10, 4, 3, 1, 16, 15]",71.0
33,33,19237632,"[147, 163, 162, 159, 156, 154, 138, 101, 97, 80, 65, 35, 30, 27, 26, 24, 100, 51, 45, 42, 36, 7, 18, 18, 15, 14, 131, 150, 79, 74, 148, 144, 13, 94, 81, 107, 10]","[147, 163, 162, 159, 156, 154, 138, 101, 97, 80, 65, 35, 30, 27, 26, 24, 100, 51, 45, 42, 36, 7, 18, 15, 14, 131, 150, 79, 74, 148, 144, 13, 94, 81, 107, 10]","[18, 23, 17, 12, 11, 9, 6, 4, 3, 5, 2, 16, 20, 8, 19, 14]",125.7
34,34,11092442,"[147, 160, 157, 154, 150, 104, 106, 65, 29, 16, 13, 64, 79, 19, 94, 89, 18, 45, 83, 99, 14, 114, 112]","[147, 160, 157, 154, 150, 104, 106, 65, 29, 16, 13, 64, 79, 19, 94, 89, 18, 45, 83, 99, 14, 114, 112]","[18, 23, 20, 12, 13, 6, 3, 2, 9, 11, 5, 15]",69.8
35,35,11643252,"[145, 105, 64, 100, 90, 86, 84, 83, 16, 3, 82, 96, 33, 24, 56, 16, 156]","[145, 105, 64, 100, 90, 86, 84, 83, 16, 3, 82, 96, 33, 24, 56, 156]","[17, 13, 6, 12, 11, 10, 9, 3, 1, 4, 5, 23]",42.4
36,36,19298623,"[147, 162, 137, 104, 160, 154, 65, 53, 9, 7, 95, 108, 18, 15, 30, 27, 16, 132, 40, 149, 150, 61]","[147, 162, 137, 104, 160, 154, 65, 53, 9, 7, 95, 108, 18, 15, 30, 27, 16, 132, 40, 149, 150, 61]","[18, 23, 17, 12, 6, 5, 2, 11, 15, 3, 16, 19, 20]",54.4
37,37,16858680,"[147, 137, 134, 106, 101, 80, 65, 47, 18, 104, 90, 89, 162, 8, 17, 16, 2, 34, 129, 124, 103, 82, 81, 32, 24, 14, 156, 151, 74]","[147, 137, 134, 106, 101, 80, 65, 47, 18, 104, 90, 89, 162, 8, 17, 16, 2, 34, 129, 124, 103, 82, 81, 32, 24, 14, 156, 151, 74]","[18, 17, 13, 12, 9, 6, 5, 3, 11, 23, 2, 1, 4, 16, 15, 20, 8]",67.0
38,38,12025113,"[147, 136, 163, 154, 98, 97, 80, 52, 34, 32, 132, 131, 129, 128, 126, 104, 100, 94, 93, 91, 85, 74, 21, 18, 84, 83, 15, 30, 16, 41]","[147, 136, 163, 154, 98, 97, 80, 52, 34, 32, 132, 131, 129, 128, 126, 104, 100, 94, 93, 91, 85, 74, 21, 18, 84, 83, 15, 30, 16, 41]","[18, 17, 23, 12, 11, 9, 5, 4, 16, 8, 3]",100.5
39,39,10272126,"[147, 105, 80, 35, 18, 34, 163, 157, 151, 132, 131, 130, 129, 128, 127, 123, 48, 47, 45, 44, 43, 42, 41, 39, 100, 91, 29, 25, 36, 79, 118]","[147, 105, 80, 35, 18, 34, 163, 157, 151, 132, 131, 130, 129, 128, 127, 123, 48, 47, 45, 44, 43, 42, 41, 39, 100, 91, 29, 25, 36, 79, 118]","[18, 13, 9, 4, 3, 23, 20, 16, 15, 5, 12, 11]",68.5
40,40,19848342,"[147, 122, 120, 162, 159, 156, 150, 98, 80, 37, 35, 8, 19, 18, 119, 112, 109, 34, 148, 60, 29, 57, 92, 87, 47, 38, 133, 127, 125, 85, 36, 99]","[147, 122, 120, 162, 159, 156, 150, 98, 80, 37, 35, 8, 19, 18, 119, 112, 109, 34, 148, 60, 29, 57, 92, 87, 47, 38, 133, 127, 125, 85, 36, 99]","[18, 15, 23, 20, 12, 9, 5, 4, 2, 3, 19, 6, 11, 10, 17, 16]",78.5
41,41,11749991,"[147, 80, 65, 48, 25, 24, 13, 119, 109, 125, 135, 147, 158, 151, 5, 18, 16, 95, 93, 2, 148, 12, 150, 39, 92, 88, 79]","[147, 80, 65, 48, 25, 24, 13, 119, 109, 125, 135, 158, 151, 5, 18, 16, 95, 93, 2, 148, 12, 150, 39, 92, 88, 79]","[18, 9, 6, 5, 3, 2, 15, 16, 17, 23, 20, 1, 11, 19, 10]",67.6
42,42,11263109,"[147, 105, 80, 35, 19, 6, 18, 3, 159, 48, 36, 26, 133, 132, 125, 149, 93, 92, 91, 88, 99, 16, 148]","[147, 105, 80, 35, 19, 6, 18, 3, 159, 48, 36, 26, 133, 132, 125, 149, 93, 92, 91, 88, 99, 16, 148]","[18, 13, 9, 4, 3, 1, 23, 5, 17, 16, 19, 11, 10, 12]",46.0
43,43,15558067,"[147, 137, 131, 130, 94, 93, 89, 88, 99, 81, 129, 127, 126, 106, 80, 37, 32, 18, 16, 2, 14, 64, 43, 40, 39, 36, 76, 148, 30, 27, 109, 161, 154, 16, 13]","[147, 137, 131, 130, 94, 93, 89, 88, 99, 81, 129, 127, 126, 106, 80, 37, 32, 18, 16, 2, 14, 64, 43, 40, 39, 36, 76, 148, 30, 27, 109, 161, 154, 13]","[18, 17, 16, 11, 10, 12, 9, 13, 5, 4, 3, 1, 2, 6, 8, 19, 15, 23]",80.8
44,44,18540414,"[122, 119, 101, 80, 37, 47, 42, 41, 38, 95, 94, 93, 131, 128, 35, 34, 36, 21, 20, 5, 18, 4, 16, 2, 87, 84, 81, 32, 159, 73, 26]","[122, 119, 101, 80, 37, 47, 42, 41, 38, 95, 94, 93, 131, 128, 35, 34, 36, 21, 20, 5, 18, 4, 16, 2, 87, 84, 81, 32, 159, 73, 26]","[15, 12, 9, 5, 11, 16, 4, 3, 1, 10, 23, 8]",99.8
45,45,18526126,"[142, 142, 120, 110, 65, 9, 18, 158, 28, 95, 25, 90, 89, 157, 14, 1, 156, 151, 164, 88, 86, 85, 81, 61, 74, 129]","[142, 120, 110, 65, 9, 18, 158, 28, 95, 25, 90, 89, 157, 14, 1, 156, 151, 164, 88, 86, 85, 81, 61, 74, 129]","[17, 15, 6, 2, 3, 23, 11, 1, 20, 24, 10, 9, 8, 16]",87.7
46,46,17307817,"[147, 122, 87, 85, 132, 129, 97, 80, 163, 158, 67, 53, 37, 35, 18, 84, 34, 64, 62, 60, 51, 48, 17, 42, 147, 82]","[147, 122, 87, 85, 132, 129, 97, 80, 163, 158, 67, 53, 37, 35, 18, 84, 34, 64, 62, 60, 51, 48, 17, 42, 82]","[18, 15, 10, 9, 16, 11, 23, 6, 5, 4, 3]",84.2
47,47,17297921,"[147, 137, 134, 105, 103, 162, 159, 155, 62, 46, 32, 154, 151, 19, 18, 4, 133, 132, 95, 94, 61, 57, 41, 40, 101, 17, 14, 91]","[147, 137, 134, 105, 103, 162, 159, 155, 62, 46, 32, 154, 151, 19, 18, 4, 133, 132, 95, 94, 61, 57, 41, 40, 101, 17, 14, 91]","[18, 17, 13, 12, 23, 6, 5, 4, 20, 3, 1, 16, 11, 2]",64.7
48,48,16759578,"[147, 162, 160, 159, 154, 137, 95, 86, 19, 33, 27, 45, 11, 144, 81, 26, 151, 43, 40, 149, 75, 125, 135, 38, 59, 69]","[147, 162, 160, 159, 154, 137, 95, 86, 19, 33, 27, 45, 11, 144, 81, 26, 151, 43, 40, 149, 75, 125, 135, 38, 59, 69]","[18, 23, 17, 11, 10, 3, 4, 5, 2, 9, 20, 19, 8, 16, 6, 7]",72.2
49,49,16613081,"[142, 137, 106, 98, 80, 77, 93, 84, 81, 35, 6, 133, 126, 5, 123, 157, 51, 150, 27, 25, 16, 13, 48, 18, 76, 74, 70, 47]","[142, 137, 106, 98, 80, 77, 93, 84, 81, 35, 6, 133, 126, 5, 123, 157, 51, 150, 27, 25, 16, 13, 48, 18, 76, 74, 70, 47]","[17, 13, 12, 9, 8, 11, 4, 1, 16, 15, 23, 5, 20, 3, 2, 7]",50.3
50,50,11237278,"[147, 138, 101, 97, 80, 65, 40, 38, 19, 131, 128, 9, 5, 18, 15, 100, 95, 162, 161, 154, 151, 150, 123, 28, 25, 90, 84, 74, 2]","[147, 138, 101, 97, 80, 65, 40, 38, 19, 131, 128, 9, 5, 18, 15, 100, 95, 162, 161, 154, 151, 150, 123, 28, 25, 90, 84, 74, 2]","[18, 17, 12, 11, 9, 6, 5, 3, 16, 2, 1, 23, 20, 15, 8]",70.8
51,51,10531034,"[147, 162, 159, 104, 111, 100, 87, 97, 80, 53, 35, 8, 156, 155, 153, 42, 24, 16, 150, 64, 79, 78, 130, 61, 19, 18]","[147, 162, 159, 104, 111, 100, 87, 97, 80, 53, 35, 8, 156, 155, 153, 42, 24, 16, 150, 64, 79, 78, 130, 61, 19, 18]","[18, 23, 12, 15, 10, 11, 9, 5, 4, 2, 22, 3, 20, 6, 8, 16]",144.5
52,52,11031976,"[147, 102, 98, 149, 94, 87, 86, 84, 80, 37, 19, 8, 15, 34, 32, 27, 25, 130, 49, 162, 155, 151, 129, 45, 24]","[147, 102, 98, 149, 94, 87, 86, 84, 80, 37, 19, 8, 15, 34, 32, 27, 25, 130, 49, 162, 155, 151, 129, 45, 24]","[18, 12, 19, 11, 10, 9, 5, 3, 2, 4, 16, 23, 20]",57.4
53,53,11127398,"[147, 137, 96, 98, 80, 67, 49, 76, 57, 39, 38, 28, 12, 94, 87, 86, 85, 84, 82, 81, 21, 108, 161, 1, 149, 156, 150]","[147, 137, 96, 98, 80, 67, 49, 76, 57, 39, 38, 28, 12, 94, 87, 86, 85, 84, 82, 81, 21, 108, 161, 1, 149, 156, 150]","[18, 17, 11, 12, 9, 6, 5, 8, 3, 2, 10, 15, 23, 1, 19, 20]",91.3
54,54,14168628,"[147, 147, 137, 122, 97, 52, 37, 19, 159, 156, 27, 25, 7, 3, 100, 95, 91, 81, 116, 2, 14, 1, 126, 48, 36, 110]","[147, 137, 122, 97, 52, 37, 19, 159, 156, 27, 25, 7, 3, 100, 95, 91, 81, 116, 2, 14, 1, 126, 48, 36, 110]","[18, 17, 15, 11, 5, 3, 23, 2, 1, 12, 9, 16, 4]",58.8
55,55,18586976,"[147, 95, 93, 90, 97, 98, 80, 37, 44, 133, 131, 128, 96, 32, 26, 147, 87, 85, 84, 16, 79, 149, 147, 99, 68, 19, 159, 156, 18, 55]","[147, 95, 93, 90, 97, 98, 80, 37, 44, 133, 131, 128, 96, 32, 26, 87, 85, 84, 16, 79, 149, 99, 68, 19, 159, 156, 18, 55]","[18, 11, 12, 9, 5, 17, 16, 4, 3, 10, 19, 6, 23]",86.9
56,56,10969349,"[100, 93, 97, 80, 53, 11, 16, 3, 32, 50, 44, 38, 36, 148, 92, 88, 111, 161, 159, 125, 26, 87, 16, 60, 74, 84, 158, 156, 12, 83]","[100, 93, 97, 80, 53, 11, 16, 3, 32, 50, 44, 38, 36, 148, 92, 88, 111, 161, 159, 125, 26, 87, 60, 74, 84, 158, 156, 12, 83]","[12, 11, 9, 5, 2, 3, 1, 4, 19, 10, 15, 23, 16, 6, 8]",63.3
57,57,11382983,"[147, 122, 67, 161, 158, 156, 93, 64, 79, 61, 77, 60, 85, 18, 81, 4, 17, 16, 48, 130, 129, 128, 109, 47, 46, 127, 123, 44, 41, 75, 32, 3, 73]","[147, 122, 67, 161, 158, 156, 93, 64, 79, 61, 77, 60, 85, 18, 81, 4, 17, 16, 48, 130, 129, 128, 109, 47, 46, 127, 123, 44, 41, 75, 32, 3, 73]","[18, 15, 6, 23, 11, 9, 8, 3, 1, 5, 16, 4]",97.8
58,58,16607312,"[147, 106, 101, 97, 52, 53, 19, 16, 14, 136, 130, 129, 94, 83, 53, 51, 48, 44, 43, 36, 162, 158, 155, 150, 148, 1, 60, 59, 81, 110, 70]","[147, 106, 101, 97, 52, 53, 19, 16, 14, 136, 130, 129, 94, 83, 51, 48, 44, 43, 36, 162, 158, 155, 150, 148, 1, 60, 59, 81, 110, 70]","[18, 13, 12, 11, 5, 3, 2, 17, 16, 9, 4, 23, 20, 19, 1, 6, 15, 7]",74.6
59,59,17182731,"[142, 97, 98, 80, 67, 60, 55, 121, 118, 116, 161, 156, 154, 45, 44, 42, 80, 35, 153, 150, 40, 38, 18, 4, 91, 24, 17, 84, 83, 99, 129, 144, 143, 148, 128]","[142, 97, 98, 80, 67, 60, 55, 121, 118, 116, 161, 156, 154, 45, 44, 42, 35, 153, 150, 40, 38, 18, 4, 91, 24, 17, 84, 83, 99, 129, 144, 143, 148, 128]","[17, 11, 12, 9, 6, 5, 15, 23, 4, 22, 20, 3, 1, 16, 19]",129.4
60,60,14315783,"[147, 91, 90, 102, 97, 80, 19, 18, 34, 48, 46, 147, 155, 129, 42, 38, 36, 83, 77, 81, 68, 16, 151, 108]","[147, 91, 90, 102, 97, 80, 19, 18, 34, 48, 46, 155, 129, 42, 38, 36, 83, 77, 81, 68, 16, 151, 108]","[18, 11, 12, 9, 3, 4, 5, 23, 16, 8, 6, 20, 15]",79.4
61,61,10480865,"[147, 137, 105, 96, 136, 130, 129, 101, 80, 148, 95, 94, 89, 88, 99, 53, 47, 43, 39, 81, 164, 149, 161, 159, 151, 6, 19, 32, 24, 150, 117, 36, 128, 18]","[147, 137, 105, 96, 136, 130, 129, 101, 80, 148, 95, 94, 89, 88, 99, 53, 47, 43, 39, 81, 164, 149, 161, 159, 151, 6, 19, 32, 24, 150, 117, 36, 128, 18]","[18, 17, 13, 11, 16, 12, 9, 19, 10, 5, 24, 23, 20, 1, 3, 4, 15]",74.6
